game_id,season,game_date,home_team,away_team,matchup,home_spread,total_line,home_margin,total_points,home_win,home_covered,over_hit,model_win_prob,model_pred_margin,vegas_win_prob,vegas_pred_margin,model_win_correct,vegas_win_correct,model_ats_pick,model_ats_win,unit_profit,abs_err_model,abs_err_vegas,favorite_side,spread_bucket,season_stage,b2b_status
22400285,2024-25,2024-11-25,SAC,OKC,OKC @ SAC,3.5,225.5,-21,239,0,0,1,0.3544,-5.34,0.4046,-3.5,1,1,Away,1,0.9091,15.66,17.5,Away favored,Small (3-7),Early,Home on B2B
22400035,2024-25,2024-11-26,WAS,CHI,CHI @ WAS,5.5,244.5,-19,235,0,0,0,0.2442,-7.18,0.3522,-5.5,1,1,Away,1,0.9091,11.82,13.5,Away favored,Small (3-7),Early,Neither/Both
22400036,2024-25,2024-11-26,MIA,MIL,MIL @ MIA,-5.5,222.5,-3,209,0,0,0,0.5824,1.18,0.6478,5.5,0,0,Away,1,0.9091,4.18,8.5,Home favored,Small (3-7),Early,Neither/Both
22400037,2024-25,2024-11-26,MIN,HOU,HOU @ MIN,-2.5,219.5,-6,228,0,0,1,0.6218,3.66,0.5685,2.5,0,0,Home,0,-1.0,9.66,8.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400038,2024-25,2024-11-26,UTA,SAS,SAS @ UTA,1.5,224.5,-13,243,0,0,1,0.4794,-0.9,0.4588,-1.5,1,1,Home,0,-1.0,12.1,11.5,Away favored,Pick'em (0-3),Early,Neither/Both
22400039,2024-25,2024-11-26,PHX,LAL,LAL @ PHX,-2.5,234.5,27,227,1,1,0,0.5981,2.33,0.5685,2.5,1,1,Away,0,-1.0,24.67,24.5,Home favored,Pick'em (0-3),Early,Neither/Both
22400286,2024-25,2024-11-27,CHA,MIA,MIA @ CHA,4.5,218.5,-4,192,0,1,0,0.3855,-2.49,0.3781,-4.5,1,1,Home,1,0.9091,1.51,0.5,Away favored,Small (3-7),Early,Away on B2B
22400287,2024-25,2024-11-27,CLE,ATL,ATL @ CLE,-9.5,242.5,-11,259,0,0,1,0.8289,14.59,0.7439,9.5,0,0,Home,0,-1.0,25.59,20.5,Home favored,Mid (7-11),Early,Neither/Both
22400288,2024-25,2024-11-27,IND,POR,POR @ IND,-9.5,231.5,7,235,1,0,1,0.7475,5.63,0.7439,9.5,1,1,Away,1,0.9091,1.37,2.5,Home favored,Mid (7-11),Early,Neither/Both
22400289,2024-25,2024-11-27,ORL,CHI,CHI @ ORL,-9.5,224.5,14,252,1,1,1,0.7152,10.22,0.7439,9.5,1,1,Home,1,0.9091,3.78,4.5,Home favored,Mid (7-11),Early,Away on B2B
22400290,2024-25,2024-11-27,PHI,HOU,HOU @ PHI,5.5,219.5,-7,237,0,0,1,0.4379,-4.21,0.3522,-5.5,1,1,Home,0,-1.0,2.79,1.5,Away favored,Small (3-7),Early,Away on B2B
22400291,2024-25,2024-11-27,WAS,LAC,LAC @ WAS,9.5,225.5,-25,217,0,0,0,0.1862,-9.73,0.2561,-9.5,1,1,Away,1,0.9091,15.27,15.5,Away favored,Mid (7-11),Early,Home on B2B
22400292,2024-25,2024-11-27,DAL,NYK,NYK @ DAL,4.5,231.5,15,243,1,1,1,0.5835,-0.84,0.3781,-4.5,1,0,Home,1,0.9091,15.84,19.5,Away favored,Small (3-7),Early,Neither/Both
